embedding model,chunk size,overlap,time (seconds),memory (MB)
all-minilm,300,0,9.306014776,10.984375
all-minilm,300,50,9.467291832,10.9140625
all-minilm,300,100,9.672351837,10.36328125
all-minilm,500,0,8.241080046,9.1484375
all-minilm,500,50,8.526193142,9.28125
all-minilm,500,100,8.602735996,13.53515625
all-minilm,1000,0,8.801252127,11.44140625
all-minilm,1000,50,8.81509304,10.5
all-minilm,1000,100,8.671505213,11.51171875
mxbai-embed-large,300,0,25.037709,15.03515625
mxbai-embed-large,300,50,26.04555702,1.9375
mxbai-embed-large,300,100,27.28579807,14.00390625
mxbai-embed-large,500,0,23.73319435,15.140625
mxbai-embed-large,500,50,24.09382987,12.0234375
mxbai-embed-large,500,100,24.3897841,4.6640625
mxbai-embed-large,1000,0,26.93878198,14.8046875
mxbai-embed-large,1000,50,23.77824497,15.2109375
mxbai-embed-large,1000,100,23.58755207,15.19140625
nomic-embed-text,300,0,16.81774521,14.0859375
nomic-embed-text,300,50,16.472826,3.890625
nomic-embed-text,300,100,18.94996977,12.68359375
nomic-embed-text,500,0,15.00469398,12.59375
nomic-embed-text,500,50,15.1225028,1.8671875
nomic-embed-text,500,100,16.74820685,12.66796875
nomic-embed-text,1000,0,15.41041183,12.5390625
nomic-embed-text,1000,50,14.39025712,11.4609375
nomic-embed-text,1000,100,13.88306117,13.5546875
