embedding model,chunk size,overlap,time (seconds),memory (MB)
all-minilm,300,0,20.88747191,4.36328125
nomic-embed-text,300,0,170.0726342,4.80078125
mxbai-embed-large,300,0,442.2398648,3.04296875
all-minilm,300,50,22.23086452,4.21484375
nomic-embed-text,300,50,175.1009574,3.890625
mxbai-embed-large,300,50,457.5731065,4.66015625
all-minilm,300,100,27.849963,4.799609
nomic-embed-text,300,100,226.763512,5.280859
mxbai-embed-large,300,100,589.653153,3.347266
all-minilm,500,0,28.93427584,4.32421875
nomic-embed-text,500,0,188.5023847,4.77734375
mxbai-embed-large,500,0,425.8123487,3.21875
all-minilm,500,50,31.67492015,4.09375
nomic-embed-text,500,50,190.8473921,4.3828125
mxbai-embed-large,500,50,448.1038475,3.10546875
all-minilm,500,100,26.29574812,4.23828125
nomic-embed-text,500,100,169.5839471,3.875
mxbai-embed-large,500,100,430.4982736,4.625
all-minilm,1000,0,23.7843921,4.1796875
nomic-embed-text,1000,0,176.1203847,3.9296875
mxbai-embed-large,1000,0,455.9374832,4.703125
all-minilm,1000,50,29.38574938,4.28515625
nomic-embed-text,1000,50,182.5948201,4.5546875
mxbai-embed-large,1000,50,442.5938471,3.0078125
all-minilm,1000,100,34.20938475,4.14453125
nomic-embed-text,1000,100,160.7483921,3.9921875
mxbai-embed-large,1000,100,417.3958472,3.265625
